Id;Label
0;mii.o
1;com_isa.o
2;isp.o
4;kvm86.o
3;i2c_bitbang.o
6;vfs_lockf.o
5;sdhc_pci.o
7;rlphy.o
8;i82365_isapnp.o
9;acpidock.o
10;r300_cmdbuf.o
12;smc91cxx.o
11;pfkey.o
14;criov.o
13;uha_isa.o
17;vfs_cache.o
16;ext2fs_inode.o
15;gl518sm.o
19;pgt.o
18;if_le.o
20;envy.o
21;procfs_note.o
22;xmphy.o
23;i2c_exec.o
24;udivdi3.o
26;compat_exec.o
25;lm93.o
27;acpitimer.o
30;softraid_raid6.o
29;ip_ether.o
28;uvm_object.o
31;vfs_vops.o
32;uvm_device.o
33;vesagtf.o
35;kern_fork.o
34;if_mpe.o
36;if_wi_pci.o
37;ip_divert.o
38;tty.o
40;elink3.o
39;if_lmc_media.o
41;atphy.o
42;bcmp.o
43;i686_mem.o
44;if_tht.o
45;midi.o
46;ehci_cardbus.o
47;ar5416.o
49;ar5008.o
48;pci_machdep.o
51;xl.o
50;if_iwn.o
52;gpio.o
54;ieee80211_ioctl.o
53;if_axe.o
55;ati_pcigart.o
56;vfs_bio.o
58;agp_sis.o
57;uplcom.o
59;wsemul_vt100.o
60;ip_gre.o
61;linux_termios.o
63;pf_ruleset.o
62;dma_alloc.o
64;rdcphy.o
65;cryptosoft.o
66;ip_id.o
67;sys_socket.o
69;if_ie.o
68;uvideo.o
70;kern_sensors.o
72;linux_cdrom.o
71;udsbr.o
73;gpioiic.o
74;acpitz.o
76;procfs_machdep.o
75;if_tl.o
77;pci_intr_fixup.o
78;subdi3.o
80;kern_ktrace.o
79;strncasecmp.o
82;nfs_serv.o
81;if_ex.o
83;ccd.o
84;iop_pci.o
85;ntfs_ihash.o
86;param.o
87;linux_misc.o
90;pipex.o
89;pcic_pci_machdep.o
88;i82365_isasubr.o
91;ashrdi3.o
92;sv.o
93;ffs_softdep.o
94;fms.o
96;bmtphy.o
95;if_fea.o
97;igmp.o
98;mpbios_intr_fixup.o
99;compress.o
100;blf.o
101;if_ep_isapnp.o
103;ar5xxx.o
102;pchb.o
104;uvm_meter.o
105;ext2fs_readwrite.o
106;bt8370.o
107;radeon_mem.o
108;bktr_card.o
110;ami.o
109;wsdisplay_compat_usl.o
111;pucdata.o
112;lpt_puc.o
113;pckbc.o
114;linux_dummy.o
115;hme.o
116;if_pppx.o
117;ip6_id.o
118;arc.o
119;htonl.o
120;ciphy.o
122;nsphy.o
121;ashldi3.o
123;deflate.o
124;icmp6.o
125;kern_sched.o
126;ar9003.o
128;vga.o
127;lmax.o
130;isp_openbsd.o
129;uvm_amap.o
131;tcp_output.o
133;ax88190.o
132;softintr.o
134;isp_library.o
135;advlib.o
136;ncr53c9x.o
137;xform.o
139;umct.o
138;owid.o
140;if_ne_pci.o
141;if_alc.o
143;drm_context.o
142;if_bnx.o
144;linux_error.o
145;eisa.o
146;udp_usrreq.o
149;ioconf.o
148;rtsock.o
147;cy_isa.o
150;ext2fs_alloc.o
151;ipmi.o
153;adwlib.o
152;ahci.o
154;twe_pci.o
156;db_hangman.o
155;if_we.o
157;kern_time.o
158;if_acx_cardbus.o
159;ufs_lookup.o
162;sha1.o
161;cy82c693.o
160;lshrdi3.o
163;ext2fs_balloc.o
165;tcp_subr.o
164;if_lge.o
167;vfs_default.o
166;nnpfs_syscalls-dummy.o
168;sdmmc.o
169;altq_cbq.o
170;if_wi_pcmcia.o
171;sys_process.o
172;altq_red.o
173;umidi_quirks.o
174;vfs_subr.o
175;ehci_pci.o
176;ses.o
178;pfkeyv2_convert.o
177;gscpcib.o
